id       , source        , duration_in_min, start_time            , end_time              , amount, kiosk_id  , app_zone_id, app_zone_group          , payment_method   , location_group   , last_updated
597676631, Passport - app,    150.0       , 09/19/2024 07:55:00 PM, 09/19/2024 10:25:00 PM,   5.55,           ,     39319.0, CORE                    , App - Wallet     , Core             , 10/31/2024 02:53:10 PM
 93895337, Parking Meters,    360.0       , 08/17/2023 08:32:52 AM, 08/17/2023 02:32:52 PM,  19.25, 10000220.0,            ,                         , CARD             , Core             , 09/30/2023 09:24:25 AM
 87278333, Parking Meters,    210.0       , 03/12/2022 10:13:43 AM, 03/12/2022 01:43:43 PM,   8.5 , 24002476.0,            ,                         , CARD             , East Austin      , 05/04/2023 10:28:03 PM
561098119, Passport - app,     60.0       , 05/16/2024 01:27:00 PM, 05/16/2024 02:27:00 PM,   2.6 ,           ,     40001.0, SoCo PTMD               , App - Wallet     , South Congress   , 07/02/2024 06:10:39 PM
 91300276, Parking Meters,    480.0       , 01/24/2023 08:08:23 AM, 01/24/2023 04:08:23 PM,  29.25, 20000910.0,            ,                         , CARD             , Non-Core         , 05/08/2023 03:50:42 PM
 96746124, Parking Meters,     27.0       , 05/15/2024 02:23:52 PM, 05/15/2024 02:50:52 PM,   0.9 , 20000961.0,            ,                         , COINS            , Non-Core         , 06/30/2024 02:30:45 PM
 85332880, Parking Meters,     53.55      , 09/17/2021 11:05:27 PM, 09/17/2021 11:59:00 PM,   2.25, 10000536.0,            ,                         , CARD             , Core             , 05/04/2023 09:41:59 PM
586690822, Passport - app,    135.0       , 08/13/2024 06:02:00 PM, 08/13/2024 08:17:00 PM,   5.15,           ,     40140.0, No Zone Group           , Apple Pay        , Unknown Location , 09/30/2024 02:52:51 PM
539509743, Passport - app,    161.56667   , 03/06/2024 08:58:00 AM, 03/06/2024 11:39:34 AM,   6.3 ,           ,     39246.0, CORE                    , Apple Pay        , Core             , 04/30/2024 02:26:10 PM
 85820639, Parking Meters,    120.0       , 10/27/2021 06:32:45 PM, 10/27/2021 08:32:45 PM,   4.25, 10001023.0,            ,                         , CARD             , Core             , 05/04/2023 09:48:54 PM
 90213036, Parking Meters,    347.56668   , 10/16/2022 04:12:26 PM, 10/16/2022 10:00:00 PM,  10.0 , 81002107.0,            ,                         , CARD             , Emma             , 05/04/2023 11:07:47 PM
101346318, Parking Meters,     60.0       , 08/22/2025 10:14:51 AM, 08/22/2025 11:14:51 AM,   2.25, 10001011.0,            ,                         , CARD             , Core             , 09/30/2025 03:19:32 PM
531784890, Passport - app,    105.0       , 02/08/2024 11:42:00 AM, 02/08/2024 01:27:00 PM,   3.8 ,           ,     39551.0, Non-Core                , App - Wallet     , Non-Core         , 03/31/2024 02:25:05 PM
576549211, Passport - app,     75.0       , 07/09/2024 05:23:00 PM, 07/09/2024 06:38:00 PM,   2.8 ,           ,     39807.0, Mueller PTMD            , App - Wallet     , Mueller          , 08/31/2024 02:38:07 PM
470291597, Passport - app,     60.0       , 06/21/2023 06:41:00 PM, 06/21/2023 07:41:00 PM,   2.3 ,           ,     39733.0, East Austin PTMD        , App - Wallet     , East Austin      , 07/31/2023 09:16:35 AM
 95735061, Parking Meters,     98.75      , 02/16/2024 10:20:14 PM, 02/16/2024 11:58:59 PM,   3.54, 24002486.0,            ,                         , CARD             , East Austin      , 03/31/2024 02:32:28 PM
 84557276, Parking Meters,     60.0       , 07/20/2021 10:19:07 AM, 07/20/2021 11:19:07 AM,   2.25, 61001614.0,            ,                         , CARD             , Rainey           , 05/04/2023 09:31:08 PM
102674006, Parking Meters,     75.0       , 02/10/2026 01:03:28 PM, 02/10/2026 02:18:28 PM,   2.5 , 10000203.0,            ,                         , COINS            , Core             , 03/11/2026 09:52:33 PM
658354907, Passport - app,    210.0       , 04/14/2025 01:54:00 PM, 04/14/2025 05:24:00 PM,   8.65,           ,     39602.0, West Campus PBD         , Apple Pay        , West Campus      , 05/31/2025 03:05:08 PM
705008564, Passport - app,     30.0       , 09/08/2025 08:45:00 PM, 09/08/2025 09:15:00 PM,   1.4 ,           ,     40002.0, SoCo PTMD               , App - Validation , South Congress   , 10/31/2025 02:33:36 PM
102660088, Parking Meters,    210.0       , 02/07/2026 07:13:31 PM, 02/07/2026 10:43:31 PM,   8.75, 10000116.0,            ,                         , CARD             , Core             , 03/11/2026 09:51:47 PM
 86566640, Parking Meters,     75.0       , 01/03/2022 03:59:43 PM, 01/03/2022 05:14:43 PM,   2.75, 28002805.0,            ,                         , CARD             , Austin High      , 05/04/2023 10:04:42 PM
 93118851, Parking Meters,     86.98333   , 06/22/2023 07:33:01 AM, 06/22/2023 09:00:00 AM,   2.25, 10000815.0,            ,                         , CARD             , Core             , 07/31/2023 09:24:46 AM
711365167, Passport - app,    120.0       , 09/27/2025 12:36:00 PM, 09/27/2025 02:36:00 PM,   4.4 ,           ,     40324.0, No Zone Group           , Apple Pay        , Unknown Location , 09/30/2025 03:09:50 PM
584396728, Passport - app,     60.0       , 08/05/2024 08:28:00 PM, 08/05/2024 09:28:00 PM,   2.4 ,           ,     40007.0, SoCo PTMD               , App - Credit Card, South Congress   , 09/30/2024 02:52:22 PM
102550969, Parking Meters,     60.0       , 01/21/2026 10:38:43 AM, 01/21/2026 11:38:43 AM,   2.25, 20000945.0,            ,                         , CARD             , Non-Core         , 02/28/2026 03:10:41 PM
 89934886, Parking Meters,     60.0       , 09/24/2022 12:23:46 PM, 09/24/2022 01:23:46 PM,   2.25, 10001052.0,            ,                         , CARD             , Core             , 05/04/2023 11:03:21 PM
101485731, Parking Meters,     75.0       , 09/06/2025 01:29:20 PM, 09/06/2025 02:44:20 PM,   2.75, 26002609.0,            ,                         , CARD             , Mueller          , 10/31/2025 02:38:23 PM
565094965, Passport - app,     75.0       , 05/30/2024 03:29:00 PM, 05/30/2024 04:44:00 PM,   2.8 ,           ,     39002.0, MOPAC Lot               , App - Wallet     , MoPac Lot        , 06/30/2024 02:24:28 PM
100641305, Parking Meters,    374.03333   , 06/10/2025 11:45:57 AM, 06/10/2025 05:59:59 PM,  19.95, 20001125.0,            ,                         , CARD             , Non-Core         , 07/31/2025 03:16:53 PM
 78531062, Parking Meters,     60.0       , 01/10/2020 11:34:19 AM, 01/10/2020 12:34:19 PM,   2.0 , 10000214.0,            ,                         , CARD             , Core             , 05/04/2023 07:34:48 PM
 90754415, Parking Meters,     90.0       , 12/03/2022 07:20:01 PM, 12/03/2022 08:50:01 PM,   3.25, 24002428.0,            ,                         , CARD             , East Austin      , 05/04/2023 11:16:33 PM
 95068126, Parking Meters,    127.5       , 12/04/2023 12:31:44 PM, 12/04/2023 02:39:14 PM,   4.25, 10001211.0,            ,                         , COINS            , Core             , 01/31/2024 09:23:51 AM
534908630, Passport - app,    135.0       , 02/19/2024 01:05:00 PM, 02/19/2024 03:20:00 PM,   4.8 ,           ,     39193.0, CORE                    , Apple Pay        , Core             , 03/31/2024 02:25:37 PM
684546789, Passport - app,     71.0       , 07/05/2025 10:49:00 PM, 07/06/2025 12:00:00 AM,   2.9 ,           ,     39299.0, CORE                    , App - Credit Card, Core             , 08/28/2025 03:08:44 PM
 92965267, Parking Meters,    255.0       , 06/10/2023 07:33:03 PM, 06/10/2023 11:48:03 PM,  11.5 , 24002441.0,            ,                         , CARD             , East Austin      , 07/31/2023 09:22:55 AM
 96616132, Parking Meters,    105.0       , 05/04/2024 02:42:44 PM, 05/04/2024 04:27:44 PM,   3.75, 10000647.0,            ,                         , CARD             , Core             , 06/30/2024 02:29:17 PM
 81787622, Parking Meters,     52.5       , 10/31/2020 12:46:43 PM, 10/31/2020 01:39:13 PM,   2.0 , 10001016.0,            ,                         , CARD             , Core             , 05/04/2023 08:28:52 PM
496715724, Passport - app,    105.0       , 09/28/2023 06:31:00 PM, 09/28/2023 08:16:00 PM,   3.8 ,           ,     39134.0, CORE                    , App - Wallet     , Core             , 10/31/2023 09:20:15 AM
